"03/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,31/10/2024,0206,00000091.52,00000004.11,00000087.41";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda,02/12/2024,0101,00000052.67,000000002.1,00000050.57";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda,02/12/2024,0101,000000052.7,000000002.1,000000050.6";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,02/12/2024,0103,00000056.25,00000002.53,00000053.72";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,02/12/2024,0106,00000539.75,00000024.28,00000515.47";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00014318,20232,Venda Parcelada,30/09/2024,0303,00000073.42,00000003.31,00000070.11";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,26/06/2024,0606,00000108.77,00000004.91,00000103.86";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,26/06/2024,0606,000000166.7,000000007.5,000000159.2";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,26/06/2024,0606,00000129.37,00000005.86,00000123.51";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,27/06/2024,0606,00000056.31,00000002.55,00000053.76";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,27/06/2024,0606,00000098.76,00000004.46,000000094.3";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,29/07/2024,0506,00000166.66,000000007.5,00000159.16";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,29/07/2024,0506,00000118.59,00000005.33,00000113.26";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,29/07/2024,0506,00000094.66,00000004.26,000000090.4";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,30/07/2024,0505,00000070.08,00000003.16,00000066.92";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,30/07/2024,0506,00000124.96,00000005.62,00000119.34";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,29/08/2024,0404,00000068.62,000000003.1,00000065.52";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,29/08/2024,0404,00000105.67,00000004.76,00000100.91";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,8,Venda Parcelada,29/08/2024,0404,000000125.0,00000005.64,00000119.36";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,29/08/2024,0405,00000049.44,00000002.22,00000047.22";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,30/08/2024,0406,00000108.98,000000004.9,00000104.08";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,31/08/2024,0406,00000221.28,00000009.95,00000211.33";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,31/08/2024,0406,00000390.04,00000017.55,00000372.49";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,31/08/2024,0406,00000281.64,00000012.67,00000268.97";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,8,Venda Parcelada,31/08/2024,0406,00000027.16,00000001.22,00000025.94";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,30/09/2024,0304,00000052.52,00000002.36,00000050.16";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,30/09/2024,0306,00000036.16,00000001.62,00000034.54";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,01/10/2024,0304,00000095.48,00000004.29,00000091.19";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,02/10/2024,0303,00000025.86,00000001.17,00000024.69";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,8,Venda Parcelada,01/11/2024,0202,00000060.67,00000002.73,00000057.94";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,7,Venda Parcelada,01/11/2024,0203,00000045.31,00000002.03,00000043.28";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,01/11/2024,0206,00000038.38,00000001.72,00000036.66";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,01/11/2024,0206,00000086.67,000000003.9,00000082.77";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,6,Venda Parcelada,01/11/2024,0206,00000178.58,00000008.03,00000170.55";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda,03/12/2024,0101,000000050.3,00000002.01,00000048.29";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,03/12/2024,0102,00000106.55,00000004.79,00000101.76";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,03/12/2024,0103,00000096.19,00000004.32,00000091.87";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,5,Venda Parcelada,03/12/2024,0103,00000026.84,000000001.2,00000025.64";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,04/12/2024,0102,00000040.35,00000001.81,00000038.54";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500007,Venda Parcelada,04/12/2024,0104,00000052.74,00000002.37,00000050.37";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,04/12/2024,0106,00000108.69,00000004.89,000000103.8";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,04/12/2024,0106,00000026.61,00000001.19,00000025.42";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500006,Venda Parcelada,04/12/2024,0106,000000136.7,00000006.15,00000130.55";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,04/12/2024,0106,000000054.6,00000002.45,00000052.15";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500009,Venda Parcelada,04/12/2024,0106,00000085.73,00000003.85,00000081.88";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,500010,Venda Parcelada,04/12/2024,0106,00000280.09,000000012.6,00000267.49";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,2,Venda Parcelada,05/12/2024,0105,00000039.58,00000001.78,000000037.8";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,4,Venda Parcelada,05/12/2024,0105,00000038.16,00000001.71,00000036.45";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,00307868,3,Venda Parcelada,05/12/2024,0106,00000214.52,00000009.65,00000204.87";;;;;;;;;;;;;;;;;;;;;;
"06/01/2025,Piaui Materiais de Construcoes,,,Aluguel POS 1431,,0101,-0000000050,00000000000,-0000000050";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,29/06/2024,0606,00000220.94,00000009.94,00000000211";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,03/10/2024,0305,00000021.18,00000000.95,00000020.23";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500006,Venda Parcelada,04/11/2024,0202,00000000200,00000000009,00000000191";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500007,Venda Parcelada,04/11/2024,0204,00000087.11,00000003.91,000000083.2";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500009,Venda Parcelada,04/11/2024,0204,00000094.73,00000004.26,00000090.47";;;;;;;;;;;;;;;;;;;;;;
"07/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,04/11/2024,0206,00000029.43,00000001.32,00000028.11";;;;;;;;;;;;;;;;;;;;;;
